168 : 
62 : ,
53 : Java
52 : .
42 : the
26 : -
26 : and
26 : of
23 : [
23 : ]
19 : to
15 : Sun
14 : (
14 : )
14 : for
13 : in
11 : a
11 : as
11 : that
10 : Oracle
10 : from
10 : was
9 : with
8 : is
7 : It
7 : The
7 : language
7 : on
7 : released
7 : run
6 : '
6 : Gosling
6 : by
6 : its
5 : 1
5 : JVM
5 : Microsystems
5 : must
5 : s
5 : software
5 : version
4 : 8
4 : James
4 : applications
4 : are
4 : be
4 : code
4 : implementation
4 : it
4 : most
4 : programming
4 : under
3 : 0
3 : 2
3 : 9
3 : As
3 : In
3 : On
3 : all
3 : an
3 : available
3 : but
3 : compiled
3 : cost
3 : designed
3 : developers
3 : free
3 : has
3 : not
3 : open
3 : originally
3 : platforms
3 : popular
3 : public
3 : renamed
3 : security
3 : support
3 : time
3 : typically
3 : use
3 : versions
3 : virtual
3 : web
3 : which
2 : 11
2 : 13
2 : 15
2 : 18
2 : 2006
2 : 2007
2 : 2018
2 : 2019
2 : 2020
2 : 25
2 : :
2 : APIs
2 : Android
2 : Community
2 : GNU
2 : General
2 : Green
2 : J2SE
2 : January
2 : LTS
2 : License
2 : May
2 : OpenJDK
2 : Process
2 : Public
2 : September
2 : WORA
2 : after
2 : application
2 : architecture
2 : at
2 : based
2 : can
2 : class
2 : coffee
2 : core
2 : currently
2 : did
2 : dynamic
2 : environments
2 : familiar
2 : had
2 : have
2 : initially
2 : languages
2 : latest
2 : licenses
2 : machine
2 : new
2 : no
2 : object
2 : one
2 : oriented
2 : platform
2 : process
2 : project
2 : proprietary
2 : reference
2 : runtime
2 : secure
2 : server
2 : soon
2 : source
2 : still
2 : such
2 : supported
2 : syntax
2 : technologies
2 : television
2 : terms
2 : through
2 : were
2 : will
2 : without
2 : zero
1 : 10
1 : 12
1 : 14
1 : 17
1 : 19
1 : 1991
1 : 1995
1 : 1996
1 : 1997
1 : 1998
1 : 1999
1 : 20
1 : 2002
1 : 2008Duke
1 : 2009–10
1 : 2010
1 : 2015
1 : 2016
1 : 21
1 : 22
1 : 23
1 : 24
1 : 26
1 : 27
1 : 28
1 : 29
1 : 30
1 : 31
1 : 32
1 : 33
1 : 34
1 : 35
1 : 36
1 : 37
1 : 38
1 : Anywhere
1 : April
1 : Arthur
1 : At
1 : C
1 : C++
1 : C/C++
1 : Corporation
1 : December
1 : EE
1 : Ecma
1 : Enterprise
1 : FOSS
1 : Fairly
1 : Following
1 : GPL
1 : GitHub
1 : Google
1 : HistoryHistoryLTS
1 : Hoff
1 : HotSpot
1 : ISO/IEC
1 : Indonesia
1 : International
1 : J2
1 : J2EE
1 : J2ME
1 : JDK
1 : JTC
1 : June
1 : Later
1 : Linux
1 : ME
1 : Machine
1 : Major
1 : Mike
1 : Naughton
1 : November
1 : Oak
1 : Once
1 : Other
1 : Patrick
1 : Principlessupercomputers
1 : Rich
1 : Run
1 : SDK
1 : SE
1 : Sheridan
1 : Since
1 : System
1 : TIOBE
1 : There
1 : This
1 : Virtual
1 : With
1 : Write
1 : ability
1 : access
1 : according
